Best Solution:
Moderator: 1686755036370945
  Ad ID: 1773321997947920
  Ad ID: 1773528409131010
  Ad ID: 1767594840576010
  Ad ID: 1767594840576010
  Ad ID: 1773597637085180
  Ad ID: 1773546826643450
  Ad ID: 1771020306875420
  Ad ID: 1772473096612860
  Ad ID: 1772706083483640
  Ad ID: 1772925637258240
  Ad ID: 1772978586968060
  Ad ID: 1773213939030010
  Ad ID: 1773152254317570
  Ad ID: 1773383624421370
  Ad ID: 1773445950097410
  Ad ID: 1773458418213890
  Ad ID: 1773474888010750
  Ad ID: 1773480245137400
  Ad ID: 1773524602067970
  Ad ID: 1773539079156730
  Ad ID: 1773539603977290
  Ad ID: 1773467633915900
  Ad ID: 1773550204373000
  Ad ID: 1773559675449390
  Ad ID: 1773564137508880
  Ad ID: 1773569798638620
  Ad ID: 1773570425323520
  Ad ID: 1773548247797760
  Ad ID: 1773610294253560
  Ad ID: 1773612517500960
  Ad ID: 1773566466598940
  Ad ID: 1773464196445220
  Ad ID: 1773611606834170
  Ad ID: 1773551837924350
  Ad ID: 1773574730152960
  Ad ID: 1773544306745340
  Ad ID: 1773563762200580
  Ad ID: 1773565774267390
  Ad ID: 1773540490403840
  Ad ID: 1773586416111610
Moderator: 1741913197768705
  Ad ID: 1773559843836940
  Ad ID: 1773566238271500
  Ad ID: 1764320229009400
  Ad ID: 1766507086298160
  Ad ID: 1766595864006650
  Ad ID: 1770564150083580
  Ad ID: 1773265342018570
  Ad ID: 1773289682636800
  Ad ID: 1773310181323820
  Ad ID: 1773474294317090
  Ad ID: 1773493875007480
  Ad ID: 1773523313189880
  Ad ID: 1773535116533800
  Ad ID: 1773551151676410
  Ad ID: 1773554136110080
  Ad ID: 1773559911490610
  Ad ID: 1773492993991680
  Ad ID: 1773563165195260
  Ad ID: 1773581093738490
  Ad ID: 1773578288391170
  Ad ID: 1773579727849470
  Ad ID: 1773590245277700
  Ad ID: 1773529561540610
  Ad ID: 1773567001264120
  Ad ID: 1773532238751740
  Ad ID: 1773616074199040
